n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock,State
121.00,47.94,2269.20,101.28,509.66,817.57,6.73,32.19,6.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.93,%sSafe
122.00,45.02,2269.21,101.98,509.55,817.57,6.73,32.12,6.12,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.98,%sSafe
123.00,41.97,2269.21,101.98,509.55,817.69,7.00,32.12,6.12,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31237.02,%sSafe
124.00,38.05,2269.21,101.98,509.55,817.69,7.00,32.29,5.28,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.66,31237.06,%sSafe
125.00,42.99,2269.29,100.98,509.92,818.06,7.00,32.29,5.28,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.66,31237.10,%sSafe
126.00,36.98,2269.29,100.98,509.92,818.06,6.91,31.97,5.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.66,31237.14,%sSafe
127.00,40.01,2269.29,100.98,509.92,818.06,6.91,31.97,5.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31237.18,%sSafe
128.00,38.99,2268.94,101.53,510.19,817.68,6.91,31.97,5.60,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31237.21,%sSafe
129.00,35.02,2268.94,101.53,510.19,817.68,6.91,32.22,5.60,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.68,31237.25,%sSafe
130.00,39.04,2269.52,102.10,509.99,817.68,6.86,32.22,5.60,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.68,31237.29,%sSafe
131.00,43.54,2269.17,102.10,509.99,817.68,6.86,32.62,6.60,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31237.33,%sSafe
132.00,42.99,2269.17,101.34,509.92,817.53,6.81,32.88,5.48,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31237.37,%sSafe
133.00,38.96,2269.17,101.34,509.92,817.53,6.81,32.88,5.48,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.68,31237.41,%sSafe
134.00,43.93,2268.82,101.10,509.83,817.57,6.91,32.88,5.48,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.68,31237.46,%sSafe
